Country,ISC11_LEVEL_CAT,Time,STR
ISL,L0,2011,
ISL,L0,2012,
ISL,L0,2013,4.699
ISL,L0,2014,4.6080000000000005
ISL,L0,2015,4.479
ISL,L0,2016,4.3469999999999995
ISL,L0,2017,4.346
ISL,L0,2018,4.208
ISL,L1,2013,10.433
ISL,L1,2014,10.838
ISL,L1,2015,10.742
ISL,L1,2016,10.845
ISL,L1,2017,11.068
ISL,L1,2018,11.015999999999998
ISL,L2,2013,10.487
ISL,L2,2014,10.855
ISL,L2,2015,10.481
ISL,L2,2016,10.158
ISL,L2,2017,10.101
ISL,L2,2018,10.13
ISL,L3,2013,
ISL,L3,2014,
ISL,L3,2015,
ISL,L3,2016,
ISL,L3,2017,
ISL,L3,2018,
ISL,L5T8,2013,
ISL,L5T8,2014,
ISL,L5T8,2015,
ISL,L5T8,2016,
ISL,L5T8,2017,
ISL,L5T8,2018,
IRL,L0,2013,
IRL,L0,2014,
IRL,L0,2015,
IRL,L0,2016,
IRL,L0,2017,
IRL,L1,2013,
IRL,L1,2014,
IRL,L1,2015,
IRL,L1,2016,
IRL,L1,2017,15.652999999999999
IRL,L1,2018,15.254000000000001
IRL,L2,2013,
IRL,L2,2014,
IRL,L2,2015,
IRL,L2,2016,
IRL,L2,2017,
IRL,L2,2018,
IRL,L3,2013,
IRL,L3,2014,
IRL,L3,2015,
IRL,L3,2016,
IRL,L3,2017,13.408
IRL,L3,2018,12.892000000000001
IRL,L5T8,2013,
IRL,L5T8,2014,
IRL,L5T8,2015,
IRL,L5T8,2016,
IRL,L5T8,2017,20.635
IRL,L5T8,2018,20.367
ISR,L0,2005,
ISR,L0,2010,
ISR,L0,2011,
ISR,L0,2012,
ISR,L0,2013,
ISR,L0,2014,
ISR,L0,2015,
ISR,L0,2016,
ISR,L0,2017,21.984
ISR,L0,2018,21.359
ISR,L1,2013,15.267999999999999
ISR,L1,2014,15.468
ISR,L1,2015,15.434000000000001
ISR,L1,2016,15.418
ISR,L1,2017,15.172
ISR,L1,2018,15.434000000000001
ISR,L2,2013,13.472999999999999
ISR,L2,2014,12.13
ISR,L2,2015,11.815999999999999
ISR,L2,2016,11.773
ISR,L2,2017,11.265
ISR,L2,2018,11.081
ISR,L3,2013,
ISR,L3,2014,10.552999999999999
ISR,L3,2015,
ISR,L3,2016,
ISR,L3,2017,9.64
ISR,L3,2018,9.941
ISR,L5T8,2013,
ISR,L5T8,2014,
ISR,L5T8,2015,
ISR,L5T8,2016,
ISR,L5T8,2017,
ISR,L5T8,2018,
ITA,L0,2005,
ITA,L0,2010,
ITA,L0,2011,
ITA,L0,2012,
ITA,L0,2013,13.515999999999998
ITA,L0,2014,13.32
ITA,L0,2015,13.198
ITA,L0,2016,12.856
ITA,L0,2017,12.435
ITA,L0,2018,12.208
ITA,L1,2013,12.345999999999998
ITA,L1,2014,12.382
ITA,L1,2015,12.357000000000001
ITA,L1,2016,11.434000000000001
ITA,L1,2017,11.652999999999999
ITA,L1,2018,11.527000000000001
ITA,L2,2013,11.68
ITA,L2,2014,11.630999999999998
ITA,L2,2015,11.536
ITA,L2,2016,10.929
ITA,L2,2017,10.954
ITA,L2,2018,10.965
ITA,L3,2013,12.562999999999999
ITA,L3,2014,12.494000000000002
ITA,L3,2015,12.469000000000001
ITA,L3,2016,10.374
ITA,L3,2017,10.35
ITA,L3,2018,10.373
ITA,L5T8,2013,19.017
ITA,L5T8,2014,18.846
ITA,L5T8,2015,20.2
ITA,L5T8,2016,20.207
ITA,L5T8,2017,20.014
ITA,L5T8,2018,20.308
JPN,L0,2005,
JPN,L0,2010,
JPN,L0,2011,
JPN,L0,2012,
JPN,L0,2013,15.408
JPN,L0,2014,15.110999999999999
JPN,L0,2015,14.790999999999999
JPN,L0,2016,14.556
JPN,L0,2017,14.515
JPN,L0,2018,14.044
JPN,L1,2013,17.402
JPN,L1,2014,17.143
JPN,L1,2015,16.906
JPN,L1,2016,16.635
JPN,L1,2017,16.427
JPN,L1,2018,16.174
JPN,L2,2013,13.905999999999999
JPN,L2,2014,13.754000000000001
JPN,L2,2015,13.604000000000001
JPN,L2,2016,13.385
JPN,L2,2017,13.253
JPN,L2,2018,13.046
JPN,L3,2013,11.72
JPN,L3,2014,11.935
JPN,L3,2015,11.960999999999999
JPN,L3,2016,11.83
JPN,L3,2017,11.767999999999999
JPN,L3,2018,11.674000000000001
JPN,L5T8,2013,
JPN,L5T8,2014,
JPN,L5T8,2015,
JPN,L5T8,2016,
JPN,L5T8,2017,
JPN,L5T8,2018,
KOR,L0,2005,
KOR,L0,2010,9.77
KOR,L0,2011,9.557
KOR,L0,2012,9.44
KOR,L0,2013,8.92
KOR,L0,2014,8.752
KOR,L0,2015,8.679
KOR,L0,2016,8.633
KOR,L0,2017,8.597000000000001
